"drug_name"	"drugbank_id"	"ind_name"	"ind_id"	"nct"	"status"	"phase"	"detailedstatus"	"drug_obo_id"	"drug_rxnorm_id"	"ind_obo_id"	"ind_meddra_pt"	"ind_snomed_id"
nivolumab	DB09035	Non-Small Cell Lung Carcinoma	C0007131	NCT05005273	Terminated	Phase 2	The Study has been terminated due to safety reasons, adverse change in the risk/benefit.		"1597876"	MONDO_0005233	"10061873"	"254637007"
erlotinib	DB00530	Non-Small Cell Lung Carcinoma	C0007131	NCT00940875	Terminated	Phase 2	Study was stopped due to slower than expected recruitment.	CHEBI_114785	"337525"	MONDO_0005233	"10061873"	"254637007"
	DB08916	Non-Small Cell Lung Carcinoma	C0007131	NCT01836341	Withdrawn	Phase 1		CHEBI_61390	"1430438"	MONDO_0005233	"10061873"	"254637007"
	DB00958	Non-Small Cell Lung Carcinoma	C0007131	NCT01836341	Withdrawn	Phase 1		CHEBI_31355	"40048"	MONDO_0005233	"10061873"	"254637007"
pemetrexed	DB00642	Non-Small Cell Lung Carcinoma	C0007131	NCT01836341	Withdrawn	Phase 1		CHEBI_63616	"68446"	MONDO_0005233	"10061873"	"254637007"
sobrerol	DB13315	Bronchitis, Chronic	C0008677		Approved			CHEBI_134802		MONDO_0005607	"10006458"	"63480004"
mycophenolate mofetil	DB01024	Thrombocytopenia due to platelet alloimmunization	C0272286	NCT02649504	Withdrawn	Phase 3		CHEBI_168396	"7145|265323"			"2897005"
	DB00073	Thrombocytopenia due to platelet alloimmunization	C0272286	NCT02649504	Withdrawn	Phase 3			"2273510|2472325|121191|2105824"			"2897005"
	DB01234	Thrombocytopenia due to platelet alloimmunization	C0272286	NCT02649504	Withdrawn	Phase 3		CHEBI_41879	"3264"			"2897005"
tamsulosin	DB00706	Prostatic Hypertrophy	C1739363	NCT01830829	Terminated	Phase 3	Difficulty in enrolling particpants	CHEBI_9398	"77492"			"266569009"
	DB01126	Prostatic Hypertrophy	C1739363	NCT01830829	Terminated	Phase 3	Difficulty in enrolling particpants	CHEBI_521033	"228790"			"266569009"
melphalan	DB01042	Acute lymphoblastic leukemia - category	C1531702	NCT00961142	Terminated	Phase 2	slow recruitment	CHEBI_28876	"6718"			
	DB04572	Acute lymphoblastic leukemia - category	C1531702	NCT00961142	Terminated	Phase 2	slow recruitment	CHEBI_9570	"10473"			
salbutamol	DB01001	Asthma	C0004096	NCT01252758	Withdrawn	Phase 2		CHEBI_2549	"435"	MONDO_0004979	"10003553"	"195967001"
flecainide	DB01195	Atrial Fibrillation	C0004238	NCT00392106	Suspended	Phase 3	voluntarily by Sponsor to investigate an anticipated SAE	CHEBI_75984	"4441"	MONDO_0004981	"10003658"	"49436004"
rituximab	DB00073	Rheumatoid Arthritis	C0003873	NCT00396812	Terminated	Phase 1/Phase 2	The perceived risk-benefit ratio for individuals with early active RA		"2273510|2472325|121191|2105824"	MONDO_0008383	"10039073"	"69896004"
adalimumab	DB00051	Rheumatoid Arthritis	C0003873	NCT02092961	Terminated	Phase 2	AZ decision to discontinue fostamatinib development in RA; rights to fostamatinib returned to Rigel Pharmaceuticals.		"2103479|2640402|2641642|2612153|2619155|2103477|327361"	MONDO_0008383	"10039073"	"69896004"
adalimumab	DB00051	Rheumatoid Arthritis	C0003873	NCT02150473	Terminated	Phase 3			"2103479|2640402|2641642|2612153|2619155|2103477|327361"	MONDO_0008383	"10039073"	"69896004"
lamotrigine	DB00555	Bipolar Disorder	C0005586	NCT00063362	Terminated	Phase 3	Funding Expiration	CHEBI_6367	"28439"	MONDO_0004985	"10057667"	"13746004"
	DB00313	Bipolar Disorder	C0005586	NCT00063362	Terminated	Phase 3	Funding Expiration	CHEBI_39867	"11118|40254"	MONDO_0004985	"10057667"	"13746004"
	DB14509	Bipolar Disorder	C0005586	NCT00063362	Terminated	Phase 3	Funding Expiration	CHEBI_6504	"42351"	MONDO_0004985	"10057667"	"13746004"
	DB00977	Malignant neoplasm of breast	C0006142	NCT00193726	Terminated	Phase 3	The accrual was very slow and there were many competing studies ongoing/initiated .	CHEBI_4903	"4124"		"10006187"	"254837009"
estradiol	DB00783	Malignant neoplasm of breast	C0006142	NCT00193726	Terminated	Phase 3	The accrual was very slow and there were many competing studies ongoing/initiated .	CHEBI_16469	"4083"		"10006187"	"254837009"
doxorubicin	DB00997	Malignant neoplasm of breast	C0006142	NCT00346229	Terminated	Phase 1	Funding	CHEBI_28748	"142433|3639"		"10006187"	"254837009"
celecoxib	DB00482	Endocrine exophthalmos	C0155264	NCT02845336	Terminated	Phase 2	Poor enrollment	CHEBI_41423	"140587"	MONDO_0001509		"276177000"
enocitabine	DB00987	Relapsing acute myeloid leukemia	C2349276	NCT02109627	Terminated	Phase 1	Low Accrual	CHEBI_28680	"3041|968804"			"12281000132104"
capecitabine	DB01101	Malignant neoplasm of breast	C0006142	NCT00227656	Terminated	Phase 2	Study slow to accrue.	CHEBI_31348	"194000"		"10006187"	"254837009"
adapalene	DB00210	Acne Vulgaris	C0001144	NCT04329403	Withdrawn	Phase 3	Market reasons	CHEBI_31174	"60223"			"88616000"
	DB01101	Malignant neoplasm of breast	C0006142	NCT01349088	Withdrawn	Phase 1/Phase 2		CHEBI_31348	"194000"		"10006187"	"254837009"
nicotinamide	DB02701	Malignant neoplasm of breast	C0006142	NCT01349088	Withdrawn	Phase 1/Phase 2		CHEBI_17154	"7405"		"10006187"	"254837009"
	DB00997	Malignant neoplasm of breast	C0006142	NCT01227408	Withdrawn	Phase 2	Sponsor withdrew due to funding issues	CHEBI_28748	"142433|3639"		"10006187"	"254837009"
	DB00531	Malignant neoplasm of breast	C0006142	NCT01227408	Withdrawn	Phase 2	Sponsor withdrew due to funding issues	CHEBI_4027	"1545988|3002"		"10006187"	"254837009"
	DB01101	Malignant neoplasm of breast	C0006142	NCT01227408	Withdrawn	Phase 2	Sponsor withdrew due to funding issues	CHEBI_31348	"194000"		"10006187"	"254837009"
	DB01229	Malignant neoplasm of breast	C0006142	NCT01227408	Withdrawn	Phase 2	Sponsor withdrew due to funding issues	CHEBI_45863	"56946"		"10006187"	"254837009"
methotrexate	DB00563	Malignant neoplasm of breast	C0006142	NCT01227408	Withdrawn	Phase 2	Sponsor withdrew due to funding issues	CHEBI_44185	"6851"		"10006187"	"254837009"
dexrazoxane	DB00380	Malignant neoplasm of breast	C0006142	NCT00955890	Terminated	Phase 2	Enrolled too slow	CHEBI_50223	"42736"		"10006187"	"254837009"
enocitabine	DB00741	Acute lymphoblastic leukemia - category	C1531702	NCT02535806	Terminated	Phase 2	Funding source discontinued	CHEBI_17650	"5492"			
	DB00563	Acute lymphoblastic leukemia - category	C1531702	NCT02535806	Terminated	Phase 2	Funding source discontinued	CHEBI_44185	"6851"			
	DB01204	Acute lymphoblastic leukemia - category	C1531702	NCT02535806	Terminated	Phase 2	Funding source discontinued	CHEBI_50729	"7005"			
	DB00541	Acute lymphoblastic leukemia - category	C1531702	NCT02535806	Terminated	Phase 2	Funding source discontinued	CHEBI_28445	"11202"			
	DB00188	Acute lymphoblastic leukemia - category	C1531702	NCT02535806	Terminated	Phase 2	Funding source discontinued	CHEBI_52717	"358258"			
	DB00987	Acute lymphoblastic leukemia - category	C1531702	NCT02535806	Terminated	Phase 2	Funding source discontinued	CHEBI_28680	"3041|968804"			
	DB01234	Acute lymphoblastic leukemia - category	C1531702	NCT02535806	Terminated	Phase 2	Funding source discontinued	CHEBI_41879	"3264"			
isradipine	DB00270	Bipolar Disorder	C0005586	NCT01784666	Terminated	Phase 2	Lack of Enrollment	CHEBI_6073	"33910"	MONDO_0004985	"10057667"	"13746004"
docetaxel	DB01248	Malignant neoplasm of breast	C0006142	NCT00080626	Terminated	Phase 2	low accrual	CHEBI_4672	"72962|1299922"		"10006187"	"254837009"
	DB00997	Malignant neoplasm of breast	C0006142	NCT02053597	Withdrawn	Phase 2	due to evolving scientific knowledge in the field that would make the questions being addressed in the trial less relevant	CHEBI_28748	"142433|3639"		"10006187"	"254837009"
paclitaxel	DB01229	Malignant neoplasm of breast	C0006142	NCT02053597	Withdrawn	Phase 2	due to evolving scientific knowledge in the field that would make the questions being addressed in the trial less relevant	CHEBI_45863	"56946"		"10006187"	"254837009"
	DB00002	Non-Small Cell Lung Carcinoma	C0007131	NCT00203931	Terminated	Phase 2	Slow accrual and evidence from other studies showing benefit of early initiation of pemetrexed after first-line therapy		"318341"	MONDO_0005233	"10061873"	"254637007"
everolimus	DB01590	Carcinoma, Transitional Cell	C0007138	NCT01215136	Terminated	Phase 2	Lack of Accrual	CHEBI_68478	"141704"	MONDO_0006474	"10044412"	"27090000"
cannabidiol	DB09061	Autoimmune Chronic Hepatitis	C0241910	NCT04129489	Terminated	Phase 2	low recruitment	CHEBI_69478	"2045371"			"16098491000119109"
bevacizumab	DB00112	Metastatic Renal Cell Cancer	C0278678	NCT00913913	Terminated	Phase 2	low accrual not allowing site to meeting statistical endpoints		"253337|2046138"			
magnesium sulfate	DB00653	Asthma	C0004096	NCT01522040	Withdrawn	Phase 2/Phase 3		CHEBI_32599	"6585|1311625"	MONDO_0004979	"10003553"	"195967001"
	DB00531	Malignant neoplasm of breast	C0006142	NCT00003086	Terminated	Phase 1/Phase 2	no participants enrolled in a three year period	CHEBI_4027	"1545988|3002"		"10006187"	"254837009"
	DB00958	Malignant neoplasm of breast	C0006142	NCT00003086	Terminated	Phase 1/Phase 2	no participants enrolled in a three year period	CHEBI_31355	"40048"		"10006187"	"254837009"
	DB04572	Malignant neoplasm of breast	C0006142	NCT00003086	Terminated	Phase 1/Phase 2	no participants enrolled in a three year period	CHEBI_9570	"10473"		"10006187"	"254837009"
	DB00544	Malignant neoplasm of breast	C0006142	NCT00003086	Terminated	Phase 1/Phase 2	no participants enrolled in a three year period	CHEBI_46345	"4492"		"10006187"	"254837009"
	DB01042	Malignant neoplasm of breast	C0006142	NCT00003086	Terminated	Phase 1/Phase 2	no participants enrolled in a three year period	CHEBI_28876	"6718"		"10006187"	"254837009"
ifosfamide	DB01181	Malignant neoplasm of breast	C0006142	NCT00003086	Terminated	Phase 1/Phase 2	no participants enrolled in a three year period	CHEBI_5864	"5657"		"10006187"	"254837009"
benzoyl peroxide	DB09096	Acne Vulgaris	C0001144	NCT02716090	Withdrawn	Phase 3	Due to budget limitations, the company decided to withdraw this study.	CHEBI_82405	"1418"			"88616000"
	DB00210	Acne Vulgaris	C0001144	NCT02716090	Withdrawn	Phase 3	Due to budget limitations, the company decided to withdraw this study.	CHEBI_31174	"60223"			"88616000"
estradiol	DB00783	Atrophic Vaginitis	C0221392	NCT00816556	Terminated	Phase 3	Funding	CHEBI_16469	"4083"			"52441000"
mepolizumab	DB06612	Eosinophilic granulomatosis with polyangiitis	C0008728		Approved				"1720597"	MONDO_0015943	"10078117"	"82275008"
vilanterol	DB09082	Bronchitis, Chronic	C0008677		Approved			CHEBI_75037	"1424884"	MONDO_0005607	"10006458"	"63480004"
caffeine	DB00201	Cluster Headache	C0009088		Approved			CHEBI_27732	"1886"	HP:0012199	"10059133"	"193031009"
phenobarbital	DB01174	Cluster Headache	C0009088		Approved			CHEBI_8069	"8134"	HP:0012199	"10059133"	"193031009"
sumatriptan	DB00669	Cluster Headache	C0009088		Approved			CHEBI_10650	"37418"	HP:0012199	"10059133"	"193031009"
docetaxel	DB01248	Squamous non-small cell lung cancer	C4509816	NCT01911325	Terminated	Phase 1	Review of safety and preliminary efficacy data showed marginal anti-tumor activity.	CHEBI_4672	"72962|1299922"			"723301009"
	DB00362	Candidiasis	C0006840	NCT00805740	Terminated	Phase 3	The study was terminated prematurely on May 18, 2012 due to slow enrollment. The study was not terminated due to any safety issues or concerns.	CHEBI_55346	"341018"	MONDO_0002026	"10074170"	"78048006"
caspofungin	DB00520	Candidiasis	C0006840	NCT00805740	Terminated	Phase 3	The study was terminated prematurely on May 18, 2012 due to slow enrollment. The study was not terminated due to any safety issues or concerns.	CHEBI_474180	"140108"	MONDO_0002026	"10074170"	"78048006"
glycine	DB00145	Herpes Labialis	C0019345	NCT00913692	Terminated	Phase 2	Terminated due to slow recruitment.	CHEBI_15428	"4919"	MONDO_0043653		"1475003"
natalizumab	DB00108	Rheumatoid Arthritis	C0003873	NCT00083759	Terminated	Phase 2	The biological effect seen with natalizumab was not sufficient to warrant further development in RA.		"354770"	MONDO_0008383	"10039073"	"69896004"
ranolazine	DB00243	Atrial Fibrillation	C0004238	NCT01887353	Terminated	Phase 2	Difficultly in enrolling	CHEBI_87690	"35829"	MONDO_0004981	"10003658"	"49436004"
dasatinib	DB01254	Malignant neoplasm of breast	C0006142	NCT01410708	Withdrawn	Phase 2		CHEBI_49375	"475342|1546019"		"10006187"	"254837009"
prednisone	DB00635	Autoimmune Chronic Hepatitis	C0241910	NCT00608894	Terminated	Phase 2	Study was discontinued due to slow enrollment	CHEBI_8382	"8640"			"16098491000119109"
	DB00864	Autoimmune Chronic Hepatitis	C0241910	NCT00608894	Terminated	Phase 2	Study was discontinued due to slow enrollment	CHEBI_61049	"42316|235991"			"16098491000119109"
	DB00993	Autoimmune Chronic Hepatitis	C0241910	NCT00608894	Terminated	Phase 2	Study was discontinued due to slow enrollment	CHEBI_2948	"1256"			"16098491000119109"
finasteride	DB01216	Prostatic Hypertrophy	C1739363	NCT00064649	Terminated	Phase 3	Inability to recruit required sample size.	CHEBI_5062	"25025"			"266569009"
mesalazine	DB00563	Rheumatoid Arthritis	C0003873	NCT00521924	Terminated	Phase 3	Slow Enrollment	CHEBI_44185	"6851"	MONDO_0008383	"10039073"	"69896004"
carboplatin	DB00958	Intrahepatic Cholangiocarcinoma	C0345905	NCT03081039	Withdrawn	Phase 3	Competing study	CHEBI_31355	"40048"	MONDO_0003210		"109842005"
lidocaine	DB00281	Pain, Postoperative	C0030201	NCT01155986	Terminated	Phase 2	Trial was stopped due to difficult enrolment	CHEBI_6456	"6387"			"213299007"
	DB04272	Arthritis	C0003864	NCT01421160	Withdrawn	Phase 1	PI left the institution prior to any data being collected	CHEBI_30769	"21183|221946"	MONDO_0005578	"10003246"	"3723001"
cyclophosphamide	DB00531	Relapsing acute myeloid leukemia	C2349276	NCT04893915	Withdrawn	Phase 2	No funding support	CHEBI_4027	"1545988|3002"			"12281000132104"
octreotide	DB00104	Acromegaly	C0001206	NCT00642421	Terminated	Phase 3	Commercial reasons	CHEBI_7726	"7617"	MONDO_0019933	"10000599"	"74107003"
methotrexate	DB00563	Rheumatoid Arthritis	C0003873	NCT00779220	Terminated	Phase 2		CHEBI_44185	"6851"	MONDO_0008383	"10039073"	"69896004"
	DB01248	Malignant neoplasm of breast	C0006142	NCT00053911	Terminated	Phase 3		CHEBI_4672	"72962|1299922"		"10006187"	"254837009"
	DB00531	Malignant neoplasm of breast	C0006142	NCT00053911	Terminated	Phase 3		CHEBI_4027	"1545988|3002"		"10006187"	"254837009"
	DB00544	Malignant neoplasm of breast	C0006142	NCT00053911	Terminated	Phase 3		CHEBI_46345	"4492"		"10006187"	"254837009"
	DB00675	Malignant neoplasm of breast	C0006142	NCT00053911	Terminated	Phase 3		CHEBI_41774	"10324"		"10006187"	"254837009"
	DB01217	Malignant neoplasm of breast	C0006142	NCT00053911	Terminated	Phase 3		CHEBI_2704	"84857"		"10006187"	"254837009"
	DB00014	Malignant neoplasm of breast	C0006142	NCT00053911	Terminated	Phase 3		CHEBI_5523	"50610"		"10006187"	"254837009"
epirubicin	DB00445	Malignant neoplasm of breast	C0006142	NCT00053911	Terminated	Phase 3		CHEBI_47898	"3995"		"10006187"	"254837009"
cyclophosphamide	DB00531	Non-Small Cell Lung Carcinoma	C0007131	NCT01015443	Terminated	Phase 3	The study is terminated prematurely as the sponsor decided to discontinue program with Tecemotide in NSCLC.	CHEBI_4027	"1545988|3002"	MONDO_0005233	"10061873"	"254637007"
ketoconazole	DB01026	Coccidioidomycosis	C0009186		Approved			CHEBI_48339	"6135"	MONDO_0005706	"10009825"	"60826002"
dihydroergotamine	DB00320	Cluster Headache	C0009088		Approved			CHEBI_4562	"3418"	HP:0012199	"10059133"	"193031009"
ergotamine	DB00696	Cluster Headache	C0009088		Approved			CHEBI_64318	"4025"	HP:0012199	"10059133"	"193031009"
lamotrigine	DB00555	Neurofibromatosis 1	C0027831	NCT02256124	Terminated	Phase 2/Phase 3	Due to our experience, the small number of new inclusions, and the uncertainty regarding the COVID-19 outbreak, we have decided to discontinue the study.	CHEBI_6367	"28439"	MONDO_0008077|MONDO_0018975		"92824003"
thalidomide	DB01041	Thrombocytopenia due to platelet alloimmunization	C0272286	NCT01976195	Withdrawn	Phase 2	No eligible patient was enrolled.	CHEBI_74947	"10432"			"2897005"
	DB01234	Thrombocytopenia due to platelet alloimmunization	C0272286	NCT01976195	Withdrawn	Phase 2	No eligible patient was enrolled.	CHEBI_41879	"3264"			"2897005"
donepezil	DB00843	Alzheimer's Disease	C0002395	NCT00874939	Terminated	Phase 1		CHEBI_145499	"135447"	MONDO_0004975	"10012271"	"26929004"
methotrexate	DB00563	Rheumatoid Arthritis	C0003873	NCT02270632	Terminated	Phase 2	Approvals of new agents for the same indication have significantly slowed down the recruitment in this trial making the prosecution of the present investigation extremely difficult.	CHEBI_44185	"6851"	MONDO_0008383	"10039073"	"69896004"
	DB06228	Atrial Fibrillation	C0004238	NCT03926156	Terminated	Phase 3	COVID-19 has impacted our study recruitment	CHEBI_68579	"1114195"	MONDO_0004981	"10003658"	"49436004"
warfarin	DB00682	Atrial Fibrillation	C0004238	NCT03926156	Terminated	Phase 3	COVID-19 has impacted our study recruitment	CHEBI_87732	"11289"	MONDO_0004981	"10003658"	"49436004"
quetiapine	DB01224	Bipolar Disorder	C0005586	NCT00771134	Terminated	Phase 2	Study was previously suspended and is now terminated	CHEBI_8707	"51272"	MONDO_0004985	"10057667"	"13746004"
	DB00531	Malignant neoplasm of breast	C0006142	NCT00925652	Terminated	Phase 2	The study was terminated early due to slow accrual.	CHEBI_4027	"1545988|3002"		"10006187"	"254837009"
	DB01217	Malignant neoplasm of breast	C0006142	NCT00661531	Terminated	Phase 2	Poor accrual	CHEBI_2704	"84857"		"10006187"	"254837009"
hydromorphone	DB00327	Acute onset pain	C0184567	NCT02062879	Terminated	Phase 3	Withdrawals from study due to anticipated effects from study drugs	CHEBI_5790	"3423"			"274663001"
	DB01221	Acute onset pain	C0184567	NCT02062879	Terminated	Phase 3	Withdrawals from study due to anticipated effects from study drugs	CHEBI_6121	"6130"			"274663001"
asparaginase	DB00023	Acute lymphoblastic leukemia - category	C1531702	NCT01910428	Terminated	Phase 1	Sponsor decision based off site/PI feedback about		"1156"			
adalimumab	DB00051	Asthma	C0004096	NCT00512863	Withdrawn	Phase 2			"2103479|2640402|2641642|2612153|2619155|2103477|327361"	MONDO_0004979	"10003553"	"195967001"
	DB00243	Atrial Fibrillation	C0004238	NCT03162120	Withdrawn	Phase 2/Phase 3	new study type, it will be re-organiZed as an Investigator Initiated Study (IIS)	CHEBI_87690	"35829"	MONDO_0004981	"10003658"	"49436004"
	DB00264	Atrial Fibrillation	C0004238	NCT03162120	Withdrawn	Phase 2/Phase 3	new study type, it will be re-organiZed as an Investigator Initiated Study (IIS)	CHEBI_6904	"6918"	MONDO_0004981	"10003658"	"49436004"
flecainide	DB01195	Atrial Fibrillation	C0004238	NCT03162120	Withdrawn	Phase 2/Phase 3	new study type, it will be re-organiZed as an Investigator Initiated Study (IIS)	CHEBI_75984	"4441"	MONDO_0004981	"10003658"	"49436004"
olanzapine	DB00334	Bipolar Disorder	C0005586	NCT00194064	Terminated	Phase 3	Slow enrollment	CHEBI_7735	"61381"	MONDO_0004985	"10057667"	"13746004"
tamoxifen	DB00675	Malignant neoplasm of breast	C0006142	NCT00532454	Terminated	Phase 2	planned to design a prospective study	CHEBI_41774	"10324"		"10006187"	"254837009"
	DB01217	Malignant neoplasm of breast	C0006142	NCT03874325	Terminated	Phase 2	lost funding	CHEBI_2704	"84857"		"10006187"	"254837009"
letrozole	DB01006	Malignant neoplasm of breast	C0006142	NCT03874325	Terminated	Phase 2	lost funding	CHEBI_6413	"72965"		"10006187"	"254837009"
	DB00007	Malignant neoplasm of breast	C0006142	NCT00498901	Terminated	Phase 2		CHEBI_6427	"42375"		"10006187"	"254837009"
capecitabine	DB01101	Malignant neoplasm of breast	C0006142	NCT04274933	Terminated	Phase 1	Company Decision	CHEBI_31348	"194000"		"10006187"	"254837009"
sertraline	DB01104	Coccidioidomycosis	C0009186	NCT02908334	Withdrawn	Phase 2	failure to enroll	CHEBI_9123	"36437"	MONDO_0005706	"10009825"	"60826002"
amphotericin B	DB00681	Coccidioidomycosis	C0009186		Approved			CHEBI_2682	"236594|732"	MONDO_0005706	"10009825"	"60826002"
itraconazole	DB01167	Coccidioidomycosis	C0009186	NCT04809649	Withdrawn	Phase 2	Sponsor is not proceeding with study due to budget cuts as a result of COVID-19.	CHEBI_6076	"28031"	MONDO_0005706	"10009825"	"60826002"
posaconazole	DB01263	Coccidioidomycosis	C0009186		Approved			CHEBI_64355	"282446"	MONDO_0005706	"10009825"	"60826002"
carotegrast methyl	DB16119	Ulcerative Colitis	C0009324		Approved					MONDO_0005101|MONDO_0009960	"10009900"	"64766004"
	DB00233	Ulcerative Colitis	C0009324	NCT01004185	Terminated	Phase 3	Pediatric enrollment very slow.	CHEBI_27565	"7833"	MONDO_0005101|MONDO_0009960	"10009900"	"64766004"
hydrocortisone	DB00741	Ulcerative Colitis	C0009324		Approved			CHEBI_17650	"5492"	MONDO_0005101|MONDO_0009960	"10009900"	"64766004"
azathioprine	DB00993	Ulcerative Colitis	C0009324	NCT00537316	Terminated	Phase 3	Infusion reactions during re-induction cycles after a period of no treatment in another study [P04563, NCT0358670]	CHEBI_2948	"1256"	MONDO_0005101|MONDO_0009960	"10009900"	"64766004"
	DB00257	Ulcerative Colitis	C0009324	NCT00061282	Terminated	Phase 1/Phase 2	Funding Horizon	CHEBI_3764	"2623"	MONDO_0005101|MONDO_0009960	"10009900"	"64766004"
ketamine	DB01221	Depressive disorder	C0011581	NCT01809340	Terminated	Phase 2	study team decision because of IP supply issue and necessary amendment to protocol	CHEBI_6121	"6130"	MONDO_0002050		"35489007"
	DB01017	Depressive disorder	C0011581	NCT01809340	Terminated	Phase 2	study team decision because of IP supply issue and necessary amendment to protocol	CHEBI_50694	"6980"	MONDO_0002050		"35489007"
tacrolimus	DB00864	Ulcerative Colitis	C0009324	NCT02954159	Terminated	Phase 3	insufficient enrollment	CHEBI_61049	"42316|235991"	MONDO_0005101|MONDO_0009960	"10009900"	"64766004"
pramipexole	DB00413	Amyotrophic Lateral Sclerosis	C0002736	NCT01622088	Terminated	Phase 3	The Initial Phase 3 Study (NCTO1281189) did not meet its primary efficacy endpoint.	CHEBI_8356	"746741"	MONDO_0004976	"10002026"	"86044005"
irinotecan	DB00762	Biliary Tract Cancer	C0750952	NCT02720601	Withdrawn	Phase 2	Study was never submitted to the IRB & never opened. PI is leaving institution.	CHEBI_80630	"51499"	MONDO_0003060|MONDO_0015116|MONDO_0017631		"363415003"
	DB01101	Biliary Tract Cancer	C0750952	NCT02720601	Withdrawn	Phase 2	Study was never submitted to the IRB & never opened. PI is leaving institution.	CHEBI_31348	"194000"	MONDO_0003060|MONDO_0015116|MONDO_0017631		"363415003"
paclitaxel	DB01229	Primary thymic carcinoma	C4302369	NCT00818090	Terminated	Phase 2	marginal statistical significance	CHEBI_45863	"56946"			"722670005"
	DB00515	Primary thymic carcinoma	C4302369	NCT00818090	Terminated	Phase 2	marginal statistical significance	CHEBI_27899	"2555"			"722670005"
axitinib	DB06626	Metastatic Renal Cell Cancer	C0278678	NCT01441414	Terminated	Phase 2	See termination reason in detailed description.	CHEBI_66910	"1242999"			
enocitabine	DB01033	Acute lymphoblastic leukemia - category	C1531702	NCT00439296	Terminated	Phase 1/Phase 2	The study was stopped due to poor accrual and lack of funding.	CHEBI_50667	"103|1546028"			
	DB00563	Acute lymphoblastic leukemia - category	C1531702	NCT00439296	Terminated	Phase 1/Phase 2	The study was stopped due to poor accrual and lack of funding.	CHEBI_44185	"6851"			
	DB00352	Acute lymphoblastic leukemia - category	C1531702	NCT00439296	Terminated	Phase 1/Phase 2	The study was stopped due to poor accrual and lack of funding.	CHEBI_9555	"1546005|10485"			
	DB00023	Acute lymphoblastic leukemia - category	C1531702	NCT00439296	Terminated	Phase 1/Phase 2	The study was stopped due to poor accrual and lack of funding.		"1156"			
	DB00531	Acute lymphoblastic leukemia - category	C1531702	NCT00439296	Terminated	Phase 1/Phase 2	The study was stopped due to poor accrual and lack of funding.	CHEBI_4027	"1545988|3002"			
	DB00987	Acute lymphoblastic leukemia - category	C1531702	NCT00439296	Terminated	Phase 1/Phase 2	The study was stopped due to poor accrual and lack of funding.	CHEBI_28680	"3041|968804"			
	DB01234	Acute lymphoblastic leukemia - category	C1531702	NCT00439296	Terminated	Phase 1/Phase 2	The study was stopped due to poor accrual and lack of funding.	CHEBI_41879	"3264"			
	DB00997	Acute lymphoblastic leukemia - category	C1531702	NCT00439296	Terminated	Phase 1/Phase 2	The study was stopped due to poor accrual and lack of funding.	CHEBI_28748	"142433|3639"			
denosumab	DB06643	Rheumatoid Arthritis	C0003873	NCT01294397	Terminated	Phase 1	Lack of enrollment.		"993449"	MONDO_0008383	"10039073"	"69896004"
	DB00005	Rheumatoid Arthritis	C0003873	NCT01294397	Terminated	Phase 1	Lack of enrollment.		"214555|2103480|2462511"	MONDO_0008383	"10039073"	"69896004"
hydroxychloroquine	DB01611	Malignant neoplasm of breast	C0006142	NCT03400254	Withdrawn	Phase 1/Phase 2	due to business decision regarding the study drug.	CHEBI_5801	"5521"		"10006187"	"254837009"
trastuzumab	DB00072	Malignant neoplasm of breast	C0006142	NCT00216047	Terminated	Phase 1/Phase 2	Low patient enrollment; toxicities		"2289225|2103478|2174802|2280730|2107051|224905"		"10006187"	"254837009"
	DB01248	Malignant neoplasm of breast	C0006142	NCT01690325	Terminated	Phase 2	Therapy of HER2+ patients according to protocol was no longer appropriate. Patient enrolment behind planned schedule and challenges of site performance	CHEBI_4672	"72962|1299922"		"10006187"	"254837009"
	DB00531	Malignant neoplasm of breast	C0006142	NCT01690325	Terminated	Phase 2	Therapy of HER2+ patients according to protocol was no longer appropriate. Patient enrolment behind planned schedule and challenges of site performance	CHEBI_4027	"1545988|3002"		"10006187"	"254837009"
oxymetazoline	DB00935	Common Cold	C0009443	NCT03339726	Terminated	Phase 2	did not enroll enough subjects in the 2017/2018 cold season, so the study was terminated	CHEBI_7862	"7812"	MONDO_0005709		"82272006"
	DB00388	Common Cold	C0009443	NCT03339726	Terminated	Phase 2	did not enroll enough subjects in the 2017/2018 cold season, so the study was terminated	CHEBI_8093	"8163"	MONDO_0005709		"82272006"
budesonide	DB01222	Asthma	C0004096	NCT02853578	Suspended	Phase 3	The viability of the study is being analyzed	CHEBI_3207	"19831"	MONDO_0004979	"10003553"	"195967001"
	DB01101	Malignant neoplasm of breast	C0006142	NCT02297230	Terminated	Phase 1/Phase 2	PI Left Institution prior to reaching accrual goal and analyzing data.	CHEBI_31348	"194000"		"10006187"	"254837009"
paclitaxel	DB01229	Malignant neoplasm of breast	C0006142	NCT02297230	Terminated	Phase 1/Phase 2	PI Left Institution prior to reaching accrual goal and analyzing data.	CHEBI_45863	"56946"		"10006187"	"254837009"
fulvestrant	DB00947	Malignant neoplasm of breast	C0006142	NCT03430466	Terminated	Phase 2	Recruiting was not possible	CHEBI_31638	"282357"		"10006187"	"254837009"
docetaxel	DB01248	Malignant neoplasm of breast	C0006142	NCT00041171	Withdrawn	Phase 3	The study was not activated.	CHEBI_4672	"72962|1299922"		"10006187"	"254837009"
	DB00112	Malignant neoplasm of breast	C0006142	NCT01120158	Terminated	Phase 2	Due to poor accrual		"253337|2046138"		"10006187"	"254837009"
